Country,Continent,Least Developed,Life Expectancy,CO2 emissions,Health expenditure,Electric power consumption,Forest area,GDP per capita,Individuals using the Internet,People using at least basic drinking water services,Obesity among adults,Beer consumption per capita,High GDP per capita
Angola,Africa,True,53.243,0.888658009,3.32290483,133.2672578,58.76964947,6584.875135,1.9,48.77040378,4.6,3.26552,False
Angola,Africa,True,54.311,0.939403983,3.84260869,172.3848981,58.32442528,6441.035242,2.3,49.57516542,4.8,3.95114,False
Angola,Africa,True,55.35,0.976184198,2.69510007,189.2577043,57.87920109,6588.835076,2.8,50.37684093,5.1,4.23,False
Angola,Africa,True,56.33,0.985522312,2.64560795,206.4544017,57.4339761,6710.750725,4.7,51.17483374,5.3,4.43,False
Angola,Africa,True,57.236,0.950695879,2.39574957,207.0133514,56.9887511,7412.967137,7.7,51.9685411,5.6,4.59,False
Angola,Africa,True,58.054,1.036293852,2.73282766,219.2534827,56.54352611,7682.475646,13.0,52.75734684,5.9,4.46,False
Angola,Africa,True,58.776,1.099779111,2.43412852,280.2144821,56.09830111,8179.297828,21.4,53.5415069,6.2,4.5,False
Angola,Africa,True,59.398,1.13504405,2.60579491,312.2288945,55.65307612,7337.569901,22.0,54.31692835,6.5,3.25,False
Argentina,South America,False,73.576,3.587392038,8.2200098,2033.771811,12.19648554,11605.59228,7.038683086,96.29467974,20.5,1.79,False
Argentina,South America,False,73.755,3.360371185,8.37179756,2088.80763,12.08087142,11220.65623,9.780807285,96.53175832,20.9,1.9,False
Argentina,South America,False,73.932,3.117424829,7.3933115,2120.580398,11.9652573,10044.61804,10.88212438,96.76268593,21.4,2.08,False
Argentina,South America,False,74.107,3.351723713,6.89451599,2014.476878,11.84964318,11029.15507,11.91369655,96.98789954,21.8,2.03,False
Argentina,South America,False,74.28,3.672973996,7.22868299,2180.326931,11.73402906,12218.20932,16.03668411,97.20809699,22.3,2.04,False
Argentina,South America,False,74.451,3.753639235,7.61078882,2293.309488,11.61841495,13575.3709,17.72058337,97.42319597,22.8,2.42,False
Argentina,South America,False,74.62,3.94249129,7.64032841,2408.432958,11.50280083,14967.625,20.9272021,97.63347995,23.2,2.57,False
Argentina,South America,False,74.787,4.102629636,7.83455086,2374.097592,11.38718671,16590.24897,25.94663294,97.83887029,23.7,2.75,False
Argentina,South America,False,74.952,4.172388531,8.18266869,2455.656081,11.27157259,17420.68009,28.11262348,98.03963014,24.2,3.16,True
Argentina,South America,False,75.116,3.867569967,9.45598793,2772.843291,11.15595848,16330.6328,34.0,98.23571573,24.7,3.23,False
Argentina,South America,False,75.278,4.099689714,9.44546986,2730.123367,11.04034436,18063.91434,45.0,98.42725533,25.3,3.32,True
Argentina,South America,False,75.439,4.280989353,9.41821575,2877.652653,10.9587129,19322.22712,51.0,98.61329285,25.8,3.5,True
Argentina,South America,False,75.598,4.264223782,9.82728195,2929.075029,10.87708144,19641.35286,55.8,98.79495003,26.3,3.29,True
Argentina,South America,False,75.756,4.342115069,9.78097343,3000.603523,10.79544998,20131.68042,59.9,98.85206691,26.9,3.35,True
Argentina,South America,False,75.913,4.209095633,9.67129135,2967.376558,10.71381852,19683.77151,64.7,98.90931952,27.4,3.37,True
Argentina,South America,False,76.068,4.301913876,10.22933865,3074.702071,10.63218706,20105.19899,68.04306411,98.96658815,28.0,3.39,True
Armenia,Asia,False,71.409,1.159761363,4.19580364,1307.534428,11.68387777,2655.323984,1.300470022,95.22086305,14.4,0.18443,False
Armenia,Asia,False,71.8,1.180062452,4.64562702,1297.564469,11.67657183,2994.248091,1.631094667,95.49284638,14.6,0.23541,False
Armenia,Asia,False,72.112,1.028353516,7.61359835,1269.222726,11.66926589,3461.274065,1.960405046,95.78067376,14.9,0.1667,False
Armenia,Asia,False,72.348,1.159732241,7.17937517,1236.331467,11.66195996,4045.110743,4.575217225,96.07533883,15.1,0.16786,False
